id	\le	\leor	\ph	\u	\voc	\voir	\key	\src	\ps	\psr	\pf	\pfr	\pff	\dt	\ge	\gf	\gr	\egr	\ege	\egf
2600	yédhán	'yena	['ye 'na]		e-a, n		Stative Condition Social	RC	n	сущ				18/Nov/2008						
2601	yédhánzʌ̏	'yenazë	['ye 'na -zë]						adj	прил				22/Aug/2007						
2602	yédhén	'yene	['ye 'ne]		e-e, n		Insect	KB, LJ	n	сущ				08/Dec/2008						
2603	yèe	=yee'-			ee		Natural Plant Weaving	BE, --LJ	n	сущ	<*thread-1>			23/Jan/2011	cotton	coton	хлопок			
2604	yée	'yee			ee ~ ei									22/Aug/2007						
2605	yéê	'yee-			ee		Reptile	YA, SE	n	сущ										
2606	yèedhȉ	=yeedhi	[=yee'- -dhi]		ee		Human Part	GA, GD	n	сущ				01/Dec/2008						
2607	yèegā	=yeega	[=yee'- ga]						n	сущ				14/Feb/2010						
2608	yéegblɯ̄ŋ	'yeegblüng	['yee gblüng]		ee		Reptile	YA, SE	n	сущ				18/Nov/2008						
2609	yéi	'yei			ei ~ ee			BE, LJ, DJ	n	сущ	<*laugh (to)>			23/Jan/2011	laughter	rire	смех			
2610	yéizʌ̏	'yeizë	['yei -zë]					GJ, OD	adj	прил				22/Aug/2007						
2611	yɛ̏	-yɛ				CV-AF		MG, LJ, DJ, SB	v	гл				22/Jan/2011	roast	griller	жарить			
2612	yɛ́	'yɛ				CV-H	BoundedEvent Agentive Physical Existence	DJ, GJ, SB, LJ	v	гл	<*break (to)-3>			22/Jan/2011						
2613	yɛ̄an	yɛan			ɛ̰a̰ ~ ḭɛ̰									18/Oct/2008						
2614	yɛ̀ɛ	=yɛɛ'-			ɛɛ	CVV-LNAF redoubl	BoundedEvent Agentive Physical Existence	LJ	v	гл				22/Jan/2011						
2615	yɛ̏ɛdhɤ̄	-yɛɛdhö	[-yɛɛ dhö]		ɛɛ			LJ	adv	нар				22/Aug/2007						
2616	yɛ̄ɛn	yɛɛn			ɛ̰ɛ̰ ~ ḭɛ̰									20/Nov/2008						
2617	yɛ̄ɛntàabhȁ	yɛɛntaabha	[yɛɛn =taa -bha]					DJ, LJ	adv	нар?				01/Dec/2008						
2618	yɛ́in	'yɛin			ɛ̰ɛ̰ (wa)			GJ (wa)LJ	n	сущ				20/Nov/2008						
2619	yɛ̏iŋzʌ̏	-yɛingzë	[-yɛing -zë]		ɛiŋ		Property Condition Physical	LJ	adj	прил				06/Dec/2008						
2620	yɛ́lɯ́	'yɛlü	['yɛ 'lü]				Plant	BE, LJ	n	сущ				06/Dec/2008						
2621	yɛ́sɯ̏	'yɛsü	['yɛ -sü]					LJ	n	сущ				29/Nov/2008						
2622	yɛ́tȁdhɛ	'yɛtadhɛ	['yɛ -ta -dhɛ]					GJ	loc.n	сущ				20/Nov/2008						
2623	yɛ̏tȁwɔ̀ɔ̏	-yɛtawɔɔ	[-yɛ -ta =wɔɔ-]				Animal	YA, SE	n	сущ				06/Dec/2008						
2624	yɛ̀ɯ	=yɛü			ɛɯ			LJ	adj	прил				20/Nov/2008						
2625	yī	yi						LJ, BE, SB	n	сущ	<*day-2>			23/Jan/2011	day	jour	день			
2626	yī	yi						LJ	pron	л.мест				01/Dec/2008	1PL.EXCL.EXI	1PL.EXCL.EXI	1PL.EXCL.EXI			
2627	yī	yi						LJ	pron	л.мест				01/Dec/2008	1PL.EXCL.AUT	1PL.EXCL.AUT	1PL.EXCL.AUT			
2628	yī	yi						LJ, GJ	pron	л.мест				14/Dec/2008	1PL.EXCL.NSBJ	1PL.EXCL.NSBJ	1PL.EXCL.NSBJ			
2629	yī	yi					State Physical	DJ, LJ	n	сущ	<*sleep>			23/Jan/2011	sleeping	sommeil	сон			
2630	yí	'yi					Natural Liquid Comestible	MG, LJ, DJ, BE, GJ, CE	n	сущ	<*water>			23/Jan/2011	water	eau	вода			
2631	yí	'yi						LJ, EF	pron	л.мест				07/Dec/2008	1PL.EXCL.JNT	1PL.EXCL.JNT	1PL.EXCL.JNT			
2632	yí	'yi			i			LJ	pron	л.мест				01/Dec/2008	1PL.EXCL.OPT	1PL.EXCL.OPT	1PL.EXCL.OPT			
2633	yî	'yi-		yí + ȁ	i			LJ	pron	л.мест	<*yí ȁ>	<*yí ȁ>	<*yí ȁ>	14/Dec/2008						
2634	yi	yi-		yī + ȁ	i			LJ	pron	л.мест	<*yī ȁ>	<*yī ȁ>	<*yī ȁ>	14/Dec/2008				стяжённая форма: субъектное эксклюзи\вное местоиме\ние быти\йной се\рии 1 л. мн.ч., "мы, но не вы" + несубъектное местоимение 3	a contractive form: subject existential 1 pers. pl. exclusive pronoun: "we, but not you" + non-subject 3 sg. pronoun	
2635	yìʌ̄	=yië'			iʌ		Stative Time	LJ	n	сущ	yi 'ka			20/Nov/2008						
2636	yìʌ	=yië'-			iʌ		Artifact Object	DJ, --LJ	n	сущ										
2637	yīʌ	yië			iʌ			MG, LJ	n	сущ				01/Dec/2008						
2638	yīʌ	yië			iʌ			LJ	pron	л.мест				01/Dec/2008	1PL.EXCL.NEG.PFV	1PL.EXCL.NEG.PFV	1PL.EXCL.NEG.PFV			
2639	yīʌ̏	yië-			iʌ			LJ	pron	л.мест				18/Jul/2008	1SG.and	1SG.et	1SG.и			
2640	yīʌ̏	yië-		yīʌ̏+ ȁ	aa				pron	л.мест				14/Dec/2008						
2641	yīʌ̏	yië-							pron	л.мест	<*yī ɓȁ>	<*yī ɓȁ>	<*yī ɓȁ>	06/Dec/2008	1PL.EXCL.POSS	1PL.EXCL.POSS	1PL.EXCL.POSS			
2642	yíʌ	'yië			iʌ			LJ	pron	л.мест				01/Dec/2008	3PL.EXCL.PRF	3PL.EXCL.PRF	3PL.EXCL.PRF			
2643	yíʌ̏	‘yië-		yíʌ́ + ȁ	iʌ			LJ	pron	л.мест	<*yíʌ́ ȁ>	<*yíʌ́ ȁ>	<*yíʌ́ ȁ>	14/Dec/2008				стяжённая форма: субъектное перфектное эксклюзи\вное местоимение 1 л. мн.ч. + несубъектное местоимение 3	a contractive form: perfect subject 1 pl. exclusive pronoun + non-subject 3 sg. pronoun	
2644	yíʌ̏	'yië-												01/Dec/2008						
2645	yíʌʌ	'yiëë			iʌʌ			LJ	pron	л.мест				06/Dec/2008	1PL.EXCL.NEG.IPFV	1PL.EXCL.NEG.IPFV	1PL.EXCL.NEG.IPFV			
2646	yíʌ̏ʌn	'yiëën-			ḭʌ̰ ~ ḭʌ̰ʌ̰			LJ	pron	л.мест				01/Dec/2008	1PL.EXCL.PURP	1PL.EXCL.PURP	1PL.EXCL.PURP			
2647	yíʌ̂bīɤ	'yiëbiö	['yië- biö]		iʌ		Animal Mammal	BE, LJ	n	сущ				20/Nov/2008						
2648	yíʌ̂bhȁn	'yiëma	['yi 'piö -ma]		iʌ		Bird	LJ	n	сущ				01/Dec/2008						
2649	yíʌ̂bhɒ̀ɒ̄	'yiëbhaɔ	['yië- =bhaɔ']				Natural	LJ	n	сущ				20/Nov/2008						
2650	yíʌ̂pȁ	'yiëpa	['yië- -pa]				Artifact Object Instrument	LJ	n	сущ				22/Aug/2007						
2651	yíblɯ̏bhɛ̏n	'yiblümɛ	['yi -blü -mɛ]				Human Occupation Fishery	DJ, LJ	n	сущ	<eau-chasse-homme>			20/Nov/2008						
2652	yíbhlétée	'yibhletee	['yi 'bhle 'tee]				Natural Place	GJ, LJ	n	сущ				20/Nov/2008						
2653	yíbhɯ̄nkɔ̏ɔ	'yimükɔɔ	['yi mü -kɔɔ]				Artifact Object	LJ, DJ	n	сущ				22/Aug/2007						
2654	yíbhɯ̄nvɛ́dhɛ̏	'yimüvɛdhɛ	['yi mü 'vɛ -dhɛ]				Artifact Object	DJ, LJ	n	сущ	<Fr>			20/Nov/2008						
2655	yídō	'yido	['yi do]				Natural Place	KB	n	сущ				20/Nov/2008						
2656	yīdōʌ	yidoë	[yi do ë]		oʌ			LJ			[yī dō ká]			23/Oct/2008						
2657	yídhʌ́ngā	'yinëga	['yi 'në ga]				Natural Place	MG, LJ	n	сущ				20/Nov/2008						
2658	yídhē	'yidhe	['yi dhe]				State Condition Manner Physical Medicine	GA, GD	n	сущ				09/Jan/2009						
2659	yídhìān	'yinia	['yi =nia']		ḭa̰		Time	LJ, OD	n	сущ				20/Nov/2008						
2660	yīɛn	yiɛn			ḭɛ̰ ~ ɛ̰a̰ ~ ɛ̰ɛ̰		Time Static	DJ, SB	adv	нар	<*yesterday>			20/Nov/2008						
2661	yīɛn	yiɛn						LJ	adj					06/Dec/2008						
2662	yígā	'yiga	['yi ga]				Natural Place	BE, LJ, MG, GJ	n	сущ				20/Nov/2008						
2663	yíglōopíɤdhɛ̏	'yigloopiödhɛ	['yi gloo 'piö -dhɛ]				Natural Place	LJ	n	сущ				22/Aug/2007						
2664	yíglȕ	'yiglu	['yi -glu]				Natural Place	GJ	n	сущ				20/Nov/2008						
2665	yígɔ̏	'yigɔ	['yi 'gɔ bhɔ -dhɛ]					LJ	n	сущ				20/Nov/2008						
2666	yígɔ̏	'yigɔ	['yi -gɔ]				KinTerm	LJ	n	сущ				06/Dec/2008						
2667	yígbā	'yigba	['yi gba]					LJ	n	сущ				07/Dec/2008						
2668	yīgbȁnwȍ	yigbanwo	[yi -gban -wo]				Dynamic Manner Physical	LJ	n	сущ				20/Nov/2008						
2669	yȉisīʌ	-yiisië	[-yii sië]		iʌ			MG, LJ, CE, OD	num	числ	<*four-2>			20/Nov/2008						
2670	yīká	yika	[yi 'ka]											07/Dec/2008						
2671	yíkȁbhɛ̄dhʌ̏nwȕn	'yikanmɛdhëwun	['yi -kan mɛ -dhë -wun]					LJ	n	сущ				20/Nov/2008						
2672	yíkɔ̏dhʌ́n	'yikɔnë	['yi -kɔ 'në]				Natural Place	MG, LJ	n	сущ				20/Nov/2008						
2673	yíkpóŋ	'yikpong	['yi 'kpong]				Natural Place	LJ	n	сущ				20/Nov/2008						
2674	yíkpóŋdhiɤ	'yikpongdhiö	['yi 'kpong 'dhiö]				Natural Place	BE, LJ	n	сущ				20/Nov/2008						
2675	yíkpɤ̄	'yikpö	['yi kpö]				Natural		n	сущ	<boule d'eau>			20/Nov/2008						
2676	yīŋ̏	ying-			iŋ			LJ	pron	л.мест				19/Jul/2008	1SG.3SG	1SG.3SG	1SG.3SG			
2677	yīŋ{yī}-dhȕn	ying {yi} -nu							pron	л.мест				19/Jul/2008	1PL.INCL.3	1PL.INCL.3	1PL.INCL.3			
2678	yīɤ	yiö			iɤ		BoundedEvent Mental Experience	LJ	n	сущ	<*dream-2>			23/Jan/2011						
2679	yīɤ	yiö			iɤ			LJ						01/Dec/2008						forme contractée: yi zë + suffixe verbal du duratif  -na
2680	yīɤ	yiö			iɤ			LJ						20/Nov/2008						LOC de
2681	yípíɤ	'yipiö	['yi 'piö]					LJ	n	сущ				20/Nov/2008						
2682	yípíɤbhȁn	'yipiöma												20/Nov/2008						
2683	yípúʌ	'yipuë	['yi 'puë]		uʌ ~ oʌ?			GJ	n	сущ				20/Nov/2008						
2684	yípúu	'yipuu	['yi 'puu]				Living	GA, KD, LJ	n	сущ				06/Dec/2008						
2685	yísɛ́ɛ̂n	'yisɛɛn	['yi 'sɛɛn-]				Natural Place	LJ, MG	n	сущ				20/Nov/2008						
2686	yítȁ	'yita	['yi -ta gɔ]				Artifact Object Vehicle	OD, LJ	n	сущ				20/Nov/2008						
2687	yítée	'yitee	['yi 'tee]				Natural Place	LJ, MG	n	сущ				20/Nov/2008						
2688	yítɔ́ɔ̂bhàadhɛ̏	'yitɔɔbhaadhɛ	['yi 'tɔɔ- =bhaa -dhɛ]				Natural Place	LJ	loc.n	сущ				06/Dec/2008						
2689	yítɔ́ɯ̂	'yitɔü	['yi 'tɔü-]		ɔɯ		Object Artifact Building	MG, LJ	n	сущ				06/Dec/2008						
2690	yívà	'yiva	['yi =va]				Natural Place	LJ, MG	n	сущ				20/Nov/2008						
2691	yízīʌnsɛ́gɔ̏	'yiziënsɛgɔ	['yi ziën 'sɛ -gɔ]				Natural Object Place	LJ	n	сущ	<eau-milieu-terre-pp>			20/Nov/2008						
2692	yízȕɤdhɛ	'yizuödhɛ	['yi -zuö -dhɛ]				Natural Place	DJ, LJ	n	сущ				20/Nov/2008						
2693	yȍŋ	-yong					Plant	LJ	n	сущ				01/Dec/2008						
2694	yóo	'yoo			oo		Natural Substance Solid	MG, LJ	n	сущ	<*ashes-2>			20/Nov/2008						
2695	yóo	'yoo			oo			BE, LJ	n	сущ				23/Jan/2011						
2696	yóo	'yoo			oo		Natural Group Place	LJ, DJ, GJ	n	сущ				12/Jul/2008						
2697	yɔ̏	-yɔ						DJ, LJ	n	сущ				06/Dec/2008	bride.price	dot	калым			
2698	yɔ̄	yɔ					Liquid	LJ, GJ, DJ	n	сущ				06/Dec/2008						
2699	yɔ́	'yɔ				CV-H		MG, LJ	v	гл				22/Jan/2011						
2700	yɔ̄akʌ̏bhɛ̏n	yɔakëmɛ	[yɔ -a -kë -mɛ]				Human	LJ	n	сущ				22/Aug/2007						
2701	yɔ́n	'yɔn					Living Part Container	MG, LJ	n	сущ	<*breast-3>			23/Jan/2011						
2702	yɔ́n	'yɔn							n	сущ	<*oil-2>			24/Nov/2008						
2703	yɔ́ngā	'yɔnga	['yɔn ga]				Living Part	GA, MA, KD	n	сущ				01/Dec/2008						
2704	yɔ́ngɔ̏	'yɔngɔ	['yɔn -gɔ]				Human Part	GA, KD, MA	n	сущ				01/Dec/2008						
2705	yɔ́ŋ	'yɔng					UnboundedEvent	LJ	n	сущ				07/Dec/2008						
2706	yɔ̀ɔ̄	=yɔɔ'			ɔɔ		Artifact Object	DJ, GJ, LJ	n	сущ				22/Apr/2000						
2707	yɔ̀ɔ	=yɔɔ'-			ɔɔ	CVV-LNAF		LJ	v	гл	<*descend-2>			22/Jan/2011						
2708	yɔ́ɔ	'yɔɔ			ɔɔ		Natural	LJ, DJ, SB	n	сущ				23/Jan/2011	kaolin	kaolin	каолин			
2709	yɔ́ɔ	'yɔɔ			ɔɔ		Human	GJ	n	сущ				12/Jul/2008						
2710	yɔ̏ɔbhɛ̄an	-yɔɔnmɛa-	[-yɔɔn mɛa-]		ɛ̰a̰		Animal	DJ, LJ	n	сущ				24/Nov/2008						
2711	yɔ̀ɔ̄dhɛ̏	=yɔɔdhɛ	[=yɔɔ' -dhɛ]		ɔɔ			LJ	n	сущ				06/Dec/2008						
2712	yɔ̀ɔn	=yɔɔn			ɔ̰ɔ̰	CVV-LL			v	гл				22/Jan/2011						
2713	yɔ̀ɔn	=yɔɔn			ɔ̰ɔ̰			CE, LJ	n	сущ	<*blood-1>			24/Nov/2008	blood	sang	кровь			
2714	yɔ́ɔ̂n	'yɔɔn-			ɔ̰ɔ̰			LJ	adj	прил										
2715	yɔ́sɯ̏	'yɔsü	['yɔ -sü]					LJ	adj	прил				23/Nov/2008						
2716	yɔ́sɯ̏zʌ̏	'yɔsüzë	['yɔ -sü -zë]					LJ	adj	прил				24/Nov/2008						
2717	yɔ̄zlȁ	yɔzla	[yɔ -zla]				Liquid	LJ	n	сущ				06/Dec/2008						
2718	yɤ̏	-yö						LJ	pron	л.мест				09/Jan/2009	3SG.EXI	3SG.EXI	3SG.EXI			
2719	yɤ̏	-yö			ɤ			LJ	pron	л.мест				06/Dec/2008	3SG.OPT	3SG.OPT	3SG.OPT			
2720	yɤ̏	-yö												06/Dec/2008						
2721	yɤ̀	=yö												06/Dec/2008						
2722	yɤ̄	yö				CV-M			v	гл	<*see (to)>			22/Jan/2011						
2723	yɤ̄	yö						LJ, GJ	pron	л.мест				06/Dec/2008	3SG.AUT	3SG.AUT	3SG.AUT			
2724	yɤ̄	yö												17/Jul/2008						
2725	yɤ́	'yö						EF, LJ	pron	л.мест				06/Dec/2008	3SG.JNT	3SG.JNT	3SG.JNT			
2726	yɤ́	'yö			ɤ				pron	л.мест				19/Jul/2008	LOG.SG.OPT	LOG.SG.OPT	LOG.SG.OPT			
2727	yɤ̂	'yö-		yɤ́+ ȁ					pron	л.мест	<*yɤ́ ȁ>	<*yɤ́ ȁ>	<*yɤ́ ȁ>	14/Dec/2008						
2728	yɤ̏ká	-yöka	[-yö 'ka]											06/Dec/2008						
2729	yɤ̄ká	yöka	[yö 'ka]						pron	л.мест				06/Dec/2008	LOG.SG.NEG.PFV	LOG.SG.NEG.PFV	LOG.SG.NEG.PFV			
2730	yɤ̏kóʌdhɛ̏	-yökoëdhɛ	[-yö 'koë -dhɛ]				Part	GJ (wa)LJ	n	сущ				01/Dec/2008						
2731	yɤ̏sōŋkʌ̄bhɛ̏n	-yösongkëmɛ	[-yö song kë -mɛ]				Human Occupation Social	LJ	n	сущ	<intermediateur>			26/Nov/2008						
2732	yɤ̏zlūdhʌdhíɤ	-yözludhëdhiö	[-yö zlu dhë 'dhiö]				Reptile	YA, SE	n	сущ				26/Nov/2008						
2733	yúa	'yua			ua		SituationType Condition Medicine	BE, LJ, DJ, CE, OD	n	сущ	<*illness-2>			23/Jan/2011						
2734	yúadhɛ	'yuadhɛ	['yua 'dhɛ]				Instrument Cause Medicine	LJ	n	сущ				01/Dec/2008						
2735	yúadhɛ̏n	'yuandhɛ	['yuan -dhɛ]					--LJ, --LP	n	сущ				22/Aug/2007						
2736	yūan	yuan			ṵa̰			MB, KB, LJ, --LP	adj	прил				17/Jun/2010						
2737	yúazʌ̏	'yuazë	['yua -zë]				Property Physical Condition	LJ	adj	прил				26/Nov/2008						
2738	yuʌn	yuën			ṵʌ̰		Plant	?	n	сущ										
2739	yúʌnyȕʌn	'yuënyuën	['yuën -yuën]		ṵʌ̰			GJ	adj	прил				01/Dec/2008						
2740	yūn	yun			ṵṵ ~ ṵ		Living Part	MB, LJ	n	сущ	<*nose>			23/Jan/2011	nose	nez	нос			
2741	yūn	yun			ṵṵ ~ ṵ		Plant Part	KB	n	сущ				01/Dec/2008						
2742	yūngɔ̄n	yungɔn	[yun gɔn]				Living Part	GA, MA	n	сущ				26/Nov/2008						
2743	yūngbɔ̄	yungbɔ	[yun gbɔ]				Human part	GJ	n	сущ				26/Nov/2008						
2744	yúŋ̂	'yung-			ṵṵ ~ ṵŋ ~ uŋ ~ uu??		Human Relation Condition	MB, --LJ	n	сущ										
2745	yúŋ̂	'yunng-												22/Aug/2007						
2746	yùɤ	=yuö			uɤ		Relation Existence Quantity	LJ	n	сущ				06/Dec/2008						
2747	yūɤ	yuö			uɤ		UnboundedEvent Agentive Purpose	BE, LJ, GJ, DJ, OD	n	сущ	<*work-3>			23/Jan/2011						
2748	yúɤ̂	'yuö-			uɤ		Fish	KB	n	сущ				01/Dec/2008						
2749	yúɤ̂	'yuö-			uɤ		Artifact Object Garment	BE, CE, LJ	n	сущ	<*pocket>			12/Jul/2008						
2750	yúɤgā	'yuöga	['yuö ga]				Fish		n	сущ				01/Dec/2008						
2751	Yúu	'Yuu			uu			LJ, SB	n	сущ				14/Dec/1999						
2752	yúû	'yuu-												03/Oct/2008						
2753	yūun	yuun												22/Aug/2007						
2754	yúûn	'yuun-												22/Aug/2007						
2755	yūungā	yuunga	[yuun ga]				Plant Part	KB	n	сущ				18/Nov/2008						
2756	zȁ	-za						LJ	n	сущ				23/Jan/2011						
2757	zā	za						LJ, DJ, CE	n	сущ				23/Jan/2011						
2758	zàā	=zaa'			aa		Plant	LJ	n	сущ										
2759	zāa	zaa-			aa		Artifact Object Building	MG, LJ, CE, SB	n	сущ				06/Dec/2008						
2760	záa	'zaa			aa		Living Part		n	сущ				10/Jun/2010						
2761	zȁan	-zaan			a̰a̰			LJ	n	сущ				26/Nov/2008						
2762	zȁan	-zaan			a̰a̰			LJ	n	сущ				10/Jan/2009						
2763	zàanzán	=zaanzan	[=zaan 'zan]		a̰a̰	CVV-CV		DJ, LJ	v	гл				22/Jan/2011						
2764	zádhɤ̄	'zadhö	['za dhö]					DJ, LJ	adv	нар				26/Nov/2008						
2765	zàgā	=zaga	[=za ga]				Human Part	BE, GA, MA, LJ	n	сущ				22/Aug/2007						
2766	zán	'zan						LJ	n	сущ				06/Dec/2008						
2767	zàŋ	=zang					Human	LJ	n	сущ										
2768	záŋ	'zang					Plant Substance Solid Comestible	DJ, LJ	n	сущ				23/Jan/2011						
2769	zázádhɤ̄	'zazadhö	['za 'za dhö]					DJ, SB	adv	нар				26/Nov/2008						
2770	zɒ́ɒ	'zaɔ			ɒɒ		Artifact Object	SB	n	сущ				26/Nov/2008						
2771	zɒ̄ɒdhe	zaɔdhe	[zaɔ dhe]		ɒɒ			GJ	n	сущ				23/Jan/2011						
2772	zɒ̏ɒdhɤ̄n	-zaɔndhö	[-zaɔn dhö]		ɒ̰ɒ̰		Static Property Physical	BE, LJ	adj	прил				22/Aug/2007						
2773	-zʌ̏	-zë			ʌ				mrph	мрф				10/Jul/2008	ADJ	ADJ	ADJ			
2774	-zʌ̏	-zë			ʌ				mrph	мрф				01/Dec/2008	PL.M	PL.M	PL.M			
2775	zʌ̄	zë				CV-M			v	гл	<*kill-2>			22/Jan/2011						
2776	zʌ̄ʌ	zëë			ʌʌ			LJ	adj					09/Jan/2009						
2777	zʌ́ʌdhē	'zëëdhe	['zëë dhe]		ʌʌ		Bird	LP	n	сущ				06/Dec/2008						
2778	zʌ̄n	zën							n	сущ				02/Dec/2008						
2779	zʌ̄ngā	zënga	[zën ga]				Living Part	GA, MA	n	сущ				02/Dec/2008						
2780	zʌ̄ngā	zënga	[zën ga]					LJ	n	сущ				02/Dec/2008						
2781	zʌ̄nzʌ̏	zënzë	[zën -zë]					LJ	adj	прил	<cuivre-suff>			02/Dec/2008						
2782	zʌ̄nzʌ̄nzʌ̏	zënzënzë	[zën zën -zë]				Static Property Physical	GA, MA, LJ	adj	прил	<cuivre-cuivre-suff>			06/Dec/2008						
2783	zʌ̄ŋgʌ̄	zënggë	[zëng gë]				Animal	YA, SE, LJ	n	сущ				14/Dec/2008						
2784	zʌ̄ŋgbʌ̄	zënggbë	[zëng gbë]				Animal	LJ	n	сущ				02/Dec/2008						
2785	zʌ́ŋzʌ̏	'zëngzë	['zëng -zë]					LJ	adv	нар				06/Dec/2008						
2786	zʌ́ŋzʌ̏	'zëngzë	['zëng -zë]					LJ	adj					02/Dec/2008						
2787	zʌ̄ɯ	zëü			ʌɯ		Natural Object	LJ	n	сущ				06/Dec/2008						
2788	zʌ̄ɯ	zëü			ʌɯ		Plant	MB, LJ	n	сущ				12/Jul/2008						
2789	zē	ze					Natural Object	SB, LJ	n	сущ	<*bean>			07/Jan/2009						
2790	zéêwɔ́yɛ́gbàāngɯ́	'zeewɔyɛgbaangü	['zee- 'wɔ 'yɛ =gbaan' 'gü]		ee		Bird	LP	n	сущ				02/Dec/2008						
2791	zēlɯ̏	zelü	[ze -lü]					M?	n	сущ				02/Dec/2008						
2792	zȅŋgbȅkɔ̏dɔ̄dhagɔ̏	-zenggbekɔdɔdhagɔ	[-zeng -gbe -kɔ dɔ dha -gɔ]				Animal	YA, SE, LJ	n	сущ				14/Dec/2008						
2793	zètūbhādhen	=zetunmadhe	[=ze tun ma dhe]				Fish	LJ	n	сущ				22/Aug/2007						
2794	zètūbhādhengā	=zetunmadhega	[=ze tun ma dhe ga]				Fish	LJ	n	сущ				22/Aug/2007						
2795	zɛ̀	=zɛ					Insect	SB, CE, OD	n	сущ	<*termites-2>			02/Dec/2008						
2796	zɛ́	'zɛ						M?	n					02/Dec/2008						
2797	zɛ̄ɛn	zɛɛn-			ɛ̰ɛ̰		Human Group	LJ	n	сущ				02/Dec/2008						
2798	zɛ̀gā	=zɛga	[=zɛga]				Insect	SB, CE, OD	n	сущ	<*termites-2>			02/Dec/2008						
2799	zɛ̀ī	=zɛi'			ɛi		Artifact Object Garment	LJ	n	сущ				02/Dec/2008						
2800	zɛ̄n	zɛn					Plant	SB, M?	n	сущ				06/Dec/2008						
2801	zɛ̄npʌ̄	zɛnpë	[zɛn pë]				Insect	GJ	n	сущ	<*mosquito-1>			22/Aug/2007						
2802	zɛ́nzɛ̏n	'zɛnzɛn	['zɛn -zɛn]				Static Property Physical	GA, MA, KD, --LJ	adj	прил				02/Dec/2008						
2803	zíaa	'ziaa			iaa		Substance Solid	LJ	n	сущ				07/Dec/2008						
2804	zīadhɤn	ziandhö	[zian- dhö]					LJ	loc.n	сущ.лок				02/Dec/2008						
2805	zȉan	-zian			ḭa̰	CVV-AF		LJ	v	гл				22/Jan/2011						
2806	zìān	=zian'			ḭa̰			MG, LJ, SB	pp	пл										
2807	zīan	zian			ḭa̰		Artifact Place	BE, MG, LJ	n	сущ	<*road>			23/Jan/2011						
2808	zīangā	zianga	[zian ga]				Artifact Place	KB	n	сущ				22/Aug/2007						
2809	zīangblȍo	ziangbloo	[zian -gbloo]				Artifact Place	GJ, LJ	n	сущ				02/Dec/2008						
2810	zīangblȍogā	ziangblooga	[zian -gbloo ga]				Artifact Place	KB, DJ, LJ	n	сущ				22/Aug/2007						
2811	zìʌ̄	=zië'			iʌ		Relation	DJ, GJ, LJ						09/Jan/2009						
2812	zīʌ	zië			iʌ		Human Relation KinTerm	DJ, LJ	n	сущ				06/Dec/2008						
2813	zīʌ và	zië =va					Human Relation KinTerm	LJ	n	сущ				02/Dec/2008						
2814	zīʌn	ziën			ḭʌ̰		Relation Space	BE, DJ, GJ, LJ	loc.n	сущ.лок	<*middle-2>			02/Dec/2008						
2815	zīʌn	ziën			ḭʌ̰			BE, DJ, GJ, LJ	pp		<*middle-2>			02/Dec/2008						
2816	zȉgā	-ziga					Artifact Instrument	LJ	n	сущ				23/Jan/2011						
2817	zȉi	-zii			ii			LJ	adj					02/Dec/2008						
2818	zìi	=zii			ii	CVV-LL	BoundedEvent Physical	LJ	v	гл				22/Jan/2011						
2819	zīi	zii			ii			BE, MG, LJ, DJ, SB	adj	прил	<*old-3>			02/Dec/2008						
2820	zíi	'zii			ii		Human Part	MG	n	сущ				02/Dec/2008						
2821	zȉiŋ dhā	-ziing dha			iiŋ		Natural	--LJ	n	сущ				02/Dec/2008						
2822	zȉisɯ̏	-ziisü	[-zii -sü]					OD	adj					02/Dec/2008						
2823	zȉizʌ̏	-ziizë	[-zii -zë]					LJ	adj	прил				06/Dec/2008						
2824	zīizīi{dhȕ}n	ziizii {-nu}												07/Dec/2008				мн. ч. от	plural of	pluriel de
2825	zīnpʌ̄	zinpë												22/Aug/2007						
2826	zȉoo	-zioo			ioo ~ io?		Artifact Instrument Music	LJ	n	сущ				06/Dec/2008						
2827	zȉozʌ̄bhɛ̏n	-ziozëmɛ	[-zio zë -mɛ]		io		Human Occupation	SB, LJ	n	сущ	<harpe-battre-personne>			06/Dec/2008						
2828	zȉɔlógɔ̀ɔ̄	-ziɔlogɔɔ	[-ziɔ 'lo =gɔɔ']		iɔ		Bird	LP	n	сущ				02/Dec/2008						
2829	zīɔn	ziɔn			ḭɔ̰		Insect	KB, GJ	n	сущ				02/Dec/2008						
2830	zīɤ	ziö			iɤ	CVV-MM		LJ, DJ, GJ	v	гл	<*pass-2>			22/Jan/2011						
2831	zíɤ̏	'ziö-			iɤ		KinTerm	BE, LJ	n	сущ	<*grandfather>			06/Dec/2008						
2832	zíɤ̂ và	'ziö- =va					Kinship Relation Term	LJ	n	сущ				06/Dec/2008						
2833	zíɤ̏zʌ̏-dhȕn	'ziözë -nu												02/Dec/2008				мн.ч. от	pl. for	pl. de
2834	zȉɤzíɤ	-ziöziö	[-ziö 'ziö]		iɤ	CVV-CVV		DJ, LJ	v	гл				22/Jan/2011						
2835	zīzī{dhȕ}n	zizi {-nu}												07/Dec/2008				мн. ч. от	plural of	pluriel de
2836	zláâ	'zlaa-			aa	CLVV	KinTerm	LJ, CE, OD	n	сущ				06/Dec/2008						
